'x','y','生态类型','瓦片类型'
6,43,land,default
6,44,land,default
6,45,land,default
6,46,land,default
6,47,land,default
6,48,land,default
6,49,land,default
6,50,land,default
6,51,land,default
6,52,land,default
6,53,land,default
6,54,land,default
6,55,land,default
6,56,land,default
6,57,land,default
6,58,land,default
6,59,land,default
6,60,land,default
6,61,land,default
6,62,land,default
6,63,land,default
6,64,land,default
6,65,land,default
6,66,land,default
6,67,land,default
6,68,land,default
6,69,land,default
6,70,land,default
6,71,land,default
6,72,land,default
6,73,land,default
6,74,land,default
6,75,land,default
6,76,land,default
6,77,land,default
6,78,land,default
6,79,land,default
6,80,land,default
6,81,land,default
6,82,land,default
6,83,land,default
6,84,land,default
6,85,land,default
6,86,land,default
6,87,land,default
6,88,land,default
6,89,land,grass
6,90,land,grass
6,91,land,grass
6,92,land,grass
6,93,land,grass
6,94,land,grass
6,95,land,grass
6,96,land,grass
6,97,land,grass
6,98,land,grass
6,99,land,grass
7,0,land,default
7,1,land,default
7,2,sea,water
7,3,sea,water
7,4,sea,water
7,5,sea,water
7,6,sea,water
7,7,sea,water
7,8,land,default
7,9,land,default
7,10,land,default
7,11,land,default
7,12,land,default
7,13,land,default
7,14,land,default
7,15,land,default
7,16,land,default
7,17,land,default
7,18,land,default
7,19,land,default
7,20,land,default
7,21,land,default
7,22,land,default
7,23,land,default
7,24,land,default
7,25,land,default
7,26,land,default
7,27,land,default
7,28,land,default
7,29,land,default
7,30,land,default
7,31,land,default
7,32,land,default
7,33,land,default
7,34,land,default
7,35,land,default
7,36,land,default
7,37,land,default
7,38,land,default
7,39,land,default
7,40,land,default
7,41,land,default
7,42,land,default
7,43,land,default
7,44,land,default
7,45,land,default
7,46,land,default
7,47,land,default
7,48,land,default
7,49,land,default
7,50,land,default
7,51,land,default
7,52,land,default
7,53,land,default
7,54,land,default
7,55,land,default
7,56,land,default
7,57,land,default
7,58,land,default
7,59,land,default
7,60,land,default
7,61,land,default
7,62,land,default
7,63,land,default
7,64,land,default
7,65,land,default
7,66,land,default
7,67,land,default
7,68,land,default
7,69,land,default
7,70,land,default
7,71,land,default
7,72,land,default
7,73,land,default
7,74,land,default
7,75,land,default
7,76,land,default
7,77,land,default
7,78,land,default
7,79,land,default
7,80,land,default
7,81,land,default
7,82,land,default
7,83,land,default
7,84,land,default
7,85,land,default
7,86,land,default
7,87,land,default
7,88,land,default
7,89,land,default
7,90,land,grass
7,91,land,grass
7,92,land,grass
7,93,land,grass
7,94,land,grass
7,95,land,grass
7,96,land,grass
7,97,land,grass
7,98,land,grass
7,99,land,grass
8,0,land,default
8,1,land,default
8,2,land,default
8,3,sea,water
8,4,sea,water
8,5,sea,water
8,6,sea,water
8,7,sea,water
8,8,sea,water
8,9,sea,water
8,10,land,default
8,11,land,default
8,12,land,default
8,13,land,default
8,14,land,default
8,15,land,default
8,16,land,default
8,17,land,default
8,18,land,default
8,19,land,default
8,20,land,default
8,21,land,default
8,22,land,default
8,23,land,default
8,24,land,default
8,25,land,default
8,26,land,default
8,27,land,default
8,28,land,default
8,29,land,default
8,30,land,default
8,31,land,default
8,32,land,default
8,33,land,default
8,34,land,default
8,35,land,default
8,36,land,default
8,37,land,default
8,38,land,default
8,39,land,default
8,40,land,default
8,41,land,default
8,42,land,default
8,43,land,default
8,44,land,default
8,45,land,default
8,46,land,default
8,47,land,default
8,48,land,default
8,49,land,default
8,50,land,default
8,51,land,default
8,52,land,default
8,53,land,default
8,54,land,default
8,55,land,default
8,56,land,default
8,57,land,default
8,58,land,default
8,59,land,default
8,60,land,default
8,61,land,default
8,62,land,default
8,63,land,default
8,64,land,default
8,65,land,default
8,66,land,default
8,67,land,default
8,68,land,default
8,69,land,default
8,70,land,default
8,71,land,default
8,72,land,default
8,73,land,default
8,74,land,default
8,75,land,default
8,76,land,default
8,77,land,default
8,78,land,default
8,79,land,default
8,80,land,default
8,81,land,default
8,82,land,default
8,83,land,default
8,84,land,default
8,85,land,default
8,86,land,default
8,87,land,default
8,88,land,default
8,89,land,default
8,90,land,default
8,91,land,default
8,92,land,grass
8,93,land,grass
8,94,land,grass
8,95,land,grass
8,96,land,grass
8,97,land,grass
8,98,land,grass
8,99,land,grass
9,0,land,default
9,1,land,default
9,2,land,default
9,3,land,default
9,4,sea,water
9,5,sea,water
9,6,sea,water
9,7,sea,water
9,8,sea,water
9,9,sea,water
9,10,sea,water
9,11,land,default
9,12,land,default
9,13,land,default
9,14,land,default
9,15,land,default
9,16,land,default
9,17,land,default
9,18,land,default
9,19,land,default
9,20,land,default
9,21,land,default
9,22,land,default
9,23,land,default
9,24,land,default
9,25,land,default
9,26,land,default
9,27,land,default
9,28,land,default
9,29,land,default
9,30,land,default
9,31,land,default
9,32,land,default
9,33,land,default
9,34,land,default
9,35,land,default
9,36,land,default
9,37,land,default
9,38,land,default
9,39,land,default
9,40,land,default
9,41,land,default
9,42,land,default
9,43,land,default
9,44,land,default
9,45,land,default
9,46,land,default
9,47,land,default
9,48,land,default
9,49,land,default
9,50,land,default
9,51,land,default
9,52,land,default
9,53,land,default
9,54,land,default
9,55,land,default
9,56,land,default
9,57,land,default
9,58,land,default
9,59,land,default
9,60,land,default
9,61,land,default
9,62,land,default
9,63,land,default
9,64,land,default
9,65,land,default
9,66,land,default
9,67,land,default
9,68,land,default
9,69,land,default
9,70,land,default
9,71,land,default
9,72,land,default
9,73,land,default
9,74,land,default
9,75,land,default
9,76,land,default
9,77,land,default
9,78,land,default
9,79,land,default
9,80,land,default
9,81,land,default
9,82,land,default
9,83,land,default
9,84,land,default
9,85,land,default
9,86,land,default
9,87,land,default
9,88,land,default
9,89,land,default
9,90,land,default
9,91,land,default
9,92,land,default
9,93,land,default
9,94,land,grass
9,95,land,grass
9,96,land,grass
9,97,land,grass
9,98,land,grass
9,99,land,grass
10,0,land,default
10,1,land,default
10,2,land,default
10,3,land,default
10,4,land,default
10,5,land,default
10,6,sea,water
10,7,sea,water
10,8,sea,water
10,9,sea,water
10,10,sea,water
10,11,sea,water
10,12,sea,water
10,13,land,default
10,14,land,default
10,15,land,default
10,16,land,default
10,17,land,default
10,18,land,default
10,19,land,default
10,20,land,default
10,21,land,default
10,22,land,default
10,23,land,default
10,24,land,default
10,25,land,default
10,26,land,default
10,27,land,default
10,28,land,default
10,29,land,default
10,30,land,default
10,31,land,default
10,32,land,default
10,33,land,default
10,34,land,default
10,35,land,default
10,36,land,default
10,37,land,default
10,38,land,default
10,39,land,default
10,40,land,default
10,41,land,default
10,42,land,default
10,43,land,default
10,44,land,default
10,45,land,default
10,46,land,default
10,47,land,default
10,48,land,default
10,49,land,default
10,50,land,default
10,51,land,default
10,52,land,default
10,53,land,default
10,54,land,default
10,55,land,default
10,56,land,default
10,57,land,default
10,58,land,default
10,59,land,default
10,60,land,default
10,61,land,default
10,62,land,default
10,63,land,default
10,64,land,default
10,65,land,default
10,66,land,default
10,67,land,default
10,68,land,default
10,69,land,default
10,70,land,default
10,71,land,default
10,72,land,default
10,73,land,default
10,74,land,default
10,75,land,default
10,76,land,default
10,77,land,default
10,78,land,default
10,79,land,default
10,80,land,default
10,81,land,default
10,82,land,default
10,83,land,default
10,84,land,default
10,85,land,default
10,86,land,default
10,87,land,default
10,88,land,default
10,89,land,default
10,90,land,default
10,91,land,default
10,92,land,default
10,93,land,default
10,94,land,default
10,95,land,default
10,96,land,default
10,97,land,default
10,98,land,default
10,99,land,default
11,0,land,default
11,1,land,default
11,2,land,default
11,3,land,default
11,4,land,default
11,5,land,default
11,6,land,default
11,7,sea,water
11,8,sea,water
11,9,sea,water
11,10,sea,water
11,11,sea,water
11,12,sea,water
11,13,sea,water
11,14,sea,water
11,15,land,default
11,16,land,default
11,17,land,default
11,18,land,default
11,19,land,default
11,20,land,default
11,21,land,default
11,22,land,default
11,23,land,default
11,24,land,default
11,25,land,default
11,26,land,default
11,27,land,default
11,28,land,default
11,29,land,default
11,30,land,default
11,31,land,default
11,32,land,default
11,33,land,default
11,34,land,default
11,35,land,default
11,36,land,default
11,37,land,default
11,38,land,default
11,39,land,default
11,40,land,default
11,41,land,default
11,42,land,default
11,43,land,default
11,44,land,default
11,45,land,default
11,46,land,default
11,47,land,default
11,48,land,default
11,49,land,default
11,50,land,default
11,51,land,default
11,52,land,default
11,53,land,default
11,54,land,default
11,55,land,default
11,56,land,default
11,57,land,default
11,58,land,default
11,59,land,default
11,60,land,default
11,61,land,default
11,62,land,default
11,63,land,default
11,64,land,default
11,65,land,default
11,66,land,default
11,67,land,default
11,68,land,default
11,69,land,default
11,70,land,default
11,71,land,default
11,72,land,default
11,73,land,default
11,74,land,default
11,75,land,default
11,76,land,default
11,77,land,default
11,78,land,default
11,79,land,default
11,80,land,default
11,81,land,default
11,82,land,default
11,83,land,default
11,84,land,default
11,85,land,default
11,86,land,default
11,87,land,default
11,88,land,default
11,89,land,default
11,90,land,default
11,91,land,default
11,92,land,default
11,93,land,default
11,94,land,default
11,95,land,default
11,96,land,default
11,97,land,default
11,98,land,default
11,99,land,default
12,0,land,default
12,1,land,default
12,2,land,default
12,3,land,default
12,4,land,default
12,5,land,default
12,6,land,default
12,7,land,default
12,8,land,default
12,9,sea,water
12,10,sea,water
12,11,sea,water
12,12,sea,water
12,13,sea,water
12,14,sea,water
12,15,sea,water
12,16,land,default
12,17,land,default
12,18,land,default
12,19,land,default
12,20,land,default
12,21,land,default
12,22,land,default
12,23,land,default
12,24,land,default
12,25,land,default
12,26,land,default
12,27,land,default
12,28,land,default
12,29,land,default
12,30,land,default
12,31,land,default
12,32,land,default
12,33,land,default
12,34,land,default
12,35,land,default
12,36,land,default
12,37,land,default
12,38,land,default
12,39,land,default
12,40,land,default
12,41,land,default
12,42,land,default
12,43,land,default
12,44,land,default
12,45,land,default
12,46,land,default
12,47,land,default
12,48,land,default
12,49,land,default
12,50,land,default
12,51,land,default
12,52,land,default
12,53,land,default
12,54,land,default
12,55,land,default
12,56,land,default
12,57,land,default
12,58,land,default
12,59,land,default
12,60,land,default
12,61,land,default
12,62,land,default
12,63,land,default
12,64,land,default
12,65,land,default
12,66,land,default
12,67,land,default
12,68,land,default
12,69,land,default
12,70,land,default
12,71,land,default
12,72,land,default
12,73,land,default
12,74,land,default
12,75,land,default
12,76,land,default
12,77,land,default
12,78,land,default
12,79,land,default
12,80,land,default
12,81,land,default
12,82,land,default
12,83,land,default
12,84,land,default
12,85,land,default
12,86,land,default
12,87,land,default
12,88,land,default
12,89,land,default
12,90,land,default
12,91,land,default
12,92,land,default
12,93,land,default
12,94,land,default
12,95,land,default
12,96,land,default
12,97,land,default
12,98,land,default
12,99,land,default
13,0,land,default
13,1,land,default
13,2,land,default
13,3,land,default
13,4,land,default
13,5,land,default
13,6,land,default
13,7,land,default
13,8,land,default
13,9,land,default
13,10,sea,water
13,11,sea,water
13,12,sea,water
13,13,sea,water
13,14,sea,water
13,15,sea,water
13,16,sea,water
13,17,sea,water
13,18,land,default
13,19,land,default
13,20,land,default
13,21,land,default
13,22,land,default
13,23,land,default
13,24,land,default
13,25,land,default
13,26,land,default
13,27,land,default
13,28,land,default
13,29,land,default
13,30,land,default
13,31,land,default
13,32,land,default
13,33,land,default
13,34,land,default
13,35,land,default
13,36,land,default
13,37,land,default
13,38,land,default
13,39,land,default
13,40,land,default
13,41,land,default
13,42,land,default
13,43,land,default
13,44,land,default
13,45,land,default
13,46,land,default
13,47,land,default
13,48,land,default
13,49,land,default
13,50,land,default
13,51,land,default
13,52,land,default
13,53,land,default
13,54,land,default
13,55,land,default
13,56,land,default
13,57,land,default
13,58,land,default
13,59,land,default
13,60,land,default
13,61,land,default
13,62,land,default
13,63,land,default
13,64,land,default
13,65,land,default
13,66,land,default
13,67,land,default
13,68,land,default
13,69,land,default
13,70,land,default
13,71,land,default
13,72,land,default
13,73,land,default
13,74,land,default
13,75,land,default
13,76,land,default
13,77,land,default
13,78,land,default
13,79,land,default
13,80,land,default
13,81,land,default
13,82,land,default
13,83,land,default
13,84,land,default
13,85,land,default
13,86,land,default
13,87,land,default
13,88,land,default
13,89,land,default
13,90,land,default
13,91,land,default
13,92,land,default
13,93,land,default
13,94,land,default
13,95,land,default
13,96,land,default
13,97,land,default
13,98,land,default
13,99,land,default
14,0,land,default
14,1,land,default
14,2,land,default
14,3,land,default
14,4,land,default
14,5,land,default
14,6,land,default
14,7,land,default
14,8,land,default
14,9,land,default
14,10,land,default
14,11,land,default
14,12,sea,water
14,13,sea,water
14,14,sea,water
14,15,sea,water
14,16,sea,water
14,17,sea,water
14,18,sea,water
14,19,land,default
14,20,land,default
14,21,land,default
14,22,land,default
14,23,land,default
14,24,land,default
14,25,land,default
14,26,land,default
14,27,land,default
14,28,land,default
14,29,land,default
14,30,land,default
14,31,land,default
14,32,land,default
14,33,land,default
14,34,land,default
14,35,land,default
14,36,land,default
14,37,land,default
14,38,land,default
14,39,land,default
14,40,land,default
14,41,land,default
14,42,land,default
14,43,land,default
14,44,land,default
14,45,land,default
14,46,land,default
14,47,land,default
14,48,land,default
14,49,land,default
14,50,land,default
14,51,land,default
14,52,land,default
14,53,land,default
14,54,land,default
14,55,land,default
14,56,land,default
14,57,land,default
14,58,land,default
14,59,land,default
14,60,land,default
14,61,land,default
14,62,land,default
14,63,land,default
14,64,land,default
14,65,land,default
14,66,land,default
14,67,land,default
14,68,land,default
14,69,land,default
14,70,land,default
14,71,land,default
14,72,land,default
14,73,land,default
14,74,land,default
14,75,land,default
14,76,land,default
14,77,land,default
14,78,land,default
14,79,land,default
14,80,land,default
14,81,land,default
14,82,land,default
14,83,land,default
14,84,land,default
14,85,land,default
14,86,land,default
14,87,land,default
14,88,land,default
14,89,land,default
14,90,land,default
14,91,land,default
14,92,land,default
14,93,land,default
14,94,land,default
14,95,land,default
14,96,land,default
14,97,land,default
14,98,land,default
14,99,land,default
15,0,land,default
15,1,land,default
15,2,land,default
15,3,land,default
15,4,land,default
15,5,land,default
15,6,land,default
15,7,land,default
15,8,land,default
15,9,land,default
15,10,land,default
15,11,land,default
15,12,land,default
15,13,sea,water
15,14,sea,water
15,15,sea,water
15,16,sea,water
15,17,sea,water
15,18,sea,water
15,19,sea,water
15,20,sea,water
15,21,land,default
15,22,land,default
15,23,land,default
15,24,land,default
15,25,land,default
15,26,land,default
15,27,land,default
15,28,land,default
15,29,land,default
15,30,land,default
15,31,land,default
15,32,land,default
15,33,land,default
15,34,land,default
15,35,land,default
15,36,land,default
15,37,land,default
15,38,land,default
15,39,land,default
15,40,land,default
15,41,land,default
15,42,land,default
15,43,land,default
15,44,land,default
15,45,land,default
15,46,land,default
15,47,land,default
15,48,land,default
15,49,land,default
15,50,land,default
15,51,land,default
15,52,land,default
15,53,land,default
15,54,land,default
15,55,land,default
15,56,land,default
15,57,land,default
15,58,land,default
15,59,land,default
15,60,land,default
15,61,land,default
15,62,land,default
15,63,land,default
15,64,land,default
15,65,land,default
15,66,land,default
15,67,land,default
15,68,land,default
15,69,land,default
15,70,land,default
15,71,land,default
15,72,land,default
15,73,land,default
15,74,land,default
15,75,land,default
15,76,land,default
15,77,land,default
15,78,land,default
15,79,land,default
15,80,land,default
15,81,land,default
15,82,land,default
15,83,land,default
15,84,land,default
15,85,land,default
15,86,land,default
15,87,land,default
15,88,land,default
15,89,land,default
15,90,land,default
15,91,land,default
15,92,land,default
15,93,land,default
15,94,land,default
15,95,land,default
15,96,land,default
15,97,land,default
15,98,land,default
15,99,land,default
16,0,land,default
16,1,land,default
16,2,land,default
16,3,land,default
16,4,land,default
16,5,land,default
16,6,land,default
16,7,land,default
16,8,land,default
16,9,land,default
16,10,land,default
16,11,land,default
16,12,land,default
16,13,land,default
16,14,land,default
16,15,sea,water
16,16,sea,water
16,17,sea,water
16,18,sea,water
16,19,sea,water
16,20,sea,water
16,21,sea,water
16,22,land,default
16,23,land,default
16,24,land,default
16,25,land,default
16,26,land,default
16,27,land,default
16,28,land,default
16,29,land,default
16,30,land,default
16,31,land,default
16,32,land,default
16,33,land,default
16,34,land,default
16,35,land,default
16,36,land,default
16,37,land,default
16,38,land,default
16,39,land,default
16,40,land,default
16,41,land,default
16,42,land,default
16,43,land,default
16,44,land,default
16,45,land,default
16,46,land,default
16,47,land,default
16,48,land,default
16,49,land,default
16,50,land,default
16,51,land,default
16,52,land,default
16,53,land,default
16,54,land,default
16,55,land,default
16,56,land,default
16,57,land,default
16,58,land,default
16,59,land,default
16,60,land,default
16,61,land,default
16,62,land,default
16,63,land,default
16,64,land,default
16,65,land,default
16,66,land,default
16,67,land,default
16,68,land,default
16,69,land,default
16,70,land,default
16,71,land,default
16,72,land,default
16,73,land,default
16,74,land,default
16,75,land,default
16,76,land,default
16,77,land,default
16,78,land,default
16,79,land,default
16,80,land,default
16,81,land,default
16,82,land,default
16,83,land,default
16,84,land,default
16,85,land,default
16,86,land,default
16,87,land,default
16,88,land,default
16,89,land,default
16,90,land,default
16,91,land,default
16,92,land,default
16,93,land,default
16,94,land,default
16,95,land,default
16,96,land,default
16,97,land,default
16,98,land,default
16,99,land,default
17,0,land,default
17,1,land,default
17,2,land,default
17,3,land,default
17,4,land,default
17,5,land,default
17,6,land,default
17,7,land,default
17,8,land,default
17,9,land,default
17,10,land,default
17,11,land,default
17,12,land,default
17,13,land,default
17,14,land,default
17,15,land,default
17,16,land,default
17,17,sea,water
17,18,sea,water
